STATE,PLACE,name,total,total_males,35_39,40_44,45_49,eligible,percent_eligible,centroid
01,07000,"Birmingham city, Alabama",167871,77984,2351,2997,1697,7045,0.09033904390644235,POINT (-86.79704394470215 33.527856150318655)
01,37000,"Huntsville city, Alabama",183284,88462,2694,1766,851,5311,0.06003707806741878,POINT (-86.64380532125938 34.69797913217947)
01,50000,"Mobile city, Alabama",152228,69520,2636,1772,1379,5787,0.0832422324510932,POINT (-88.11621681671512 30.678257029867172)
01,51000,"Montgomery city, Alabama",158509,72098,2371,1898,1387,5656,0.07844877805209576,POINT (-86.26676219011274 32.348155109135504)
02,03000,"Anchorage municipality, Alaska",231551,118304,3389,1919,1496,6804,0.05751284825534217,POINT (-149.1081619174607 61.149758486538914)
04,12000,"Chandler city, Arizona",224980,112052,3400,1612,1725,6737,0.06012387105986506,POINT (-111.85118316454688 33.28223003947238)
04,27400,"Gilbert town, Arizona",207483,102207,1657,1252,716,3625,0.03546723805610183,POINT (-111.74622553233823 33.31001016575546)
04,27820,"Glendale city, Arizona",198247,95269,3002,1767,1404,6173,0.0647954738687296,POINT (-112.24533884618205 33.5756975013519)
04,46000,"Mesa city, Arizona",409845,202791,5122,3881,2267,11270,0.055574458432573436,POINT (-111.71645817231746 33.40022016584716)
04,54050,"Peoria city, Arizona",159291,76412,1718,971,699,3388,0.0443385855624771,POINT (-112.29877909685615 33.78372826139844)
04,55000,"Phoenix city, Arizona",1303413,651010,21898,17164,11971,51033,0.07839050091396446,POINT (-112.08923439565817 33.57210415160342)
04,65000,"Scottsdale city, Arizona",214822,103166,2465,1715,1640,5820,0.05641393482348836,POINT (-111.86506947486635 33.687180707821014)
04,71510,"Surprise city, Arizona",120312,57094,1375,827,508,2710,0.04746558307352786,POINT (-112.45137168912396 33.68156411191028)
04,73000,"Tempe city, Arizona",164675,87186,3070,2253,1187,6510,0.0746679512765811,POINT (-111.93189489012771 33.38810216954072)
04,77000,"Tucson city, Arizona",454428,224560,7428,5153,3583,16164,0.07198076237976488,POINT (-110.87881371169884 32.15392820305599)
05,41000,"Little Rock city, Arkansas",161270,75548,2918,1397,1229,5544,0.07338380896913221,POINT (-92.35789685132457 34.725664515103844)
06,02000,"Anaheim city, California",281400,135579,4702,3373,2095,10170,0.07501161684331645,POINT (-117.8574704751618 33.838966728046785)
06,03526,"Bakersfield city, California",307889,150273,4308,3560,1814,9682,0.06442940514929495,POINT (-119.03588439207003 35.35285386530599)
06,06000,"Berkeley city, California",108535,52143,1768,1056,659,3483,0.06679707726828146,POINT (-122.27598594158322 37.87222352579815)
06,13392,"Chula Vista city, California",220583,109381,3216,2051,1106,6373,0.058264232362110424,POINT (-117.01443166974613 32.6281200010459)
06,16000,"Concord city, California",101803,50657,1707,1161,731,3599,0.07104644965157826,POINT (-122.0015950319809 37.972190582533585)
06,16350,"Corona city, California",128702,63311,1369,1084,993,3446,0.05442971995387847,POINT (-117.56486629153896 33.86159464798746)
06,22020,"Elk Grove city, California",140810,68119,1633,1008,543,3184,0.04674173138184647,POINT (-121.3836374977058 38.4155266289705)
06,22804,"Escondido city, California",121220,60601,2322,1503,718,4543,0.07496575964093002,POINT (-117.07227067738782 33.13476381180654)
06,24680,"Fontana city, California",165054,82834,2283,1718,1154,5155,0.06223289953400778,POINT (-117.45980234671022 34.09722773020173)
06,26000,"Fremont city, California",185573,93260,2191,1139,884,4214,0.04518550289513189,POINT (-121.98404992631416 37.52642884211133)
06,27000,"Fresno city, California",415810,204686,7423,4532,4015,15970,0.07802194580967922,POINT (-119.79392464047801 36.78299820311662)
06,28000,"Fullerton city, California",114158,56682,1920,1122,613,3655,0.06448255178010656,POINT (-117.92788019918218 33.88406628334329)
06,29000,"Garden Grove city, California",141765,70698,1927,1380,1532,4839,0.06844606636679963,POINT (-117.9601194554306 33.77871353154097)
06,30000,"Glendale city, California",163687,77792,2411,1554,1080,5045,0.06485242698477993,POINT (-118.24686008212454 34.1818816391018)
06,33000,"Hayward city, California",133136,66574,2024,1510,1048,4582,0.06882566767807252,POINT (-122.07658200233463 37.63283613810409)
06,36000,"Huntington Beach city, California",167975,82708,2660,1141,885,4686,0.05665715529332108,POINT (-118.00186744196883 33.69606133687713)
06,36770,"Irvine city, California",252521,122498,4384,1658,844,6886,0.056213162663880226,POINT (-117.77382955033242 33.67719498469746)
06,40130,"Lancaster city, California",131998,64771,2295,1374,1180,4849,0.07486375075265166,POINT (-118.1753386177882 34.693457173798635)
06,43000,"Long Beach city, California",382932,187186,7729,6174,4637,18540,0.09904586881497549,POINT (-118.16335027455897 33.80278250227163)
06,44000,"Los Angeles city, California",3236572,1600015,75262,51884,38695,165841,0.10364965328450046,POINT (-118.40753203706767 34.116165925441884)
06,48354,"Modesto city, California",171195,83796,2765,2119,1147,6031,0.07197240918420927,POINT (-121.00293851176052 37.63722510879933)
06,49270,"Moreno Valley city, California",163256,80955,2516,2141,1404,6061,0.07486875424618615,POINT (-117.20455751560345 33.924388928098224)
06,53000,"Oakland city, California",367133,180183,8854,6282,4544,19680,0.109222290671151,POINT (-122.21648610110427 37.79042985631884)
06,53322,"Oceanside city, California",141656,71231,2113,1184,832,4129,0.0579663348822844,POINT (-117.3082704250998 33.22473775710061)
06,53896,"Ontario city, California",141320,69355,2752,1357,1141,5250,0.07569749837791075,POINT (-117.60641545746508 34.039264215755104)
06,53980,"Orange city, California",115064,58307,2089,1284,990,4363,0.07482806524088016,POINT (-117.82175026043086 33.8038202782314)
06,54652,"Oxnard city, California",157046,78813,3237,2049,1261,6547,0.08307005189499195,POINT (-119.18149311467576 34.1963528968913)
06,55156,"Palmdale city, California",125361,60806,1625,1374,509,3508,0.057691675163635166,POINT (-118.10570451187905 34.594419226290455)
06,56000,"Pasadena city, California",118025,57934,2817,2171,1264,6252,0.10791590430489868,POINT (-118.13896310321313 34.159688193397585)
06,58072,"Pomona city, California",119642,59070,2405,1602,1156,5163,0.08740477399695276,POINT (-117.76259753786752 34.05848461980922)
06,59451,"Rancho Cucamonga city, California",141277,69484,1637,1135,841,3613,0.05199758217719187,POINT (-117.56214459888342 34.13061417262559)
06,62000,"Riverside city, California",256361,125352,4094,3146,1409,8649,0.06899770246984492,POINT (-117.39488952025016 33.938135790032064)
